,predictions,file_names
0,calm,03-01-02-02-01-02-05.wav
1,sad,03-01-04-01-02-01-08.wav
2,angry,03-01-05-02-02-02-13.wav
3,angry,03-01-03-02-02-01-11.wav
4,happy,03-01-03-01-02-01-07.wav
5,happy,03-01-03-02-01-02-19.wav
6,fearful,03-01-04-02-02-02-16.wav
7,angry,03-01-05-02-02-01-16.wav
8,happy,03-01-03-02-02-02-08.wav
9,calm,03-01-02-01-01-01-03.wav
10,sad,03-01-04-01-02-02-06.wav
11,fearful,03-01-06-02-01-02-01.wav
12,angry,03-01-05-01-02-02-11.wav
13,fearful,03-01-06-02-02-02-19.wav
14,fearful,03-01-06-01-01-02-15.wav
15,sad,03-01-05-01-02-02-14.wav
16,calm,03-01-02-02-02-01-21.wav
17,calm,03-01-02-02-01-01-16.wav
18,calm,03-01-02-01-02-02-01.wav
19,angry,03-01-05-02-02-01-17.wav
20,angry,03-01-05-02-02-02-12.wav
21,calm,03-01-02-01-01-01-11.wav
22,happy,03-01-03-01-02-02-08.wav
23,fearful,03-01-06-01-02-01-03.wav
24,happy,03-01-03-01-02-02-18.wav
25,sad,03-01-04-01-01-01-15.wav
26,sad,03-01-04-02-02-01-08.wav
27,calm,03-01-02-01-01-02-22.wav
28,happy,03-01-03-02-01-02-23.wav
29,fearful,03-01-03-02-02-02-09.wav
30,happy,03-01-04-01-02-02-07.wav
31,happy,03-01-03-02-01-02-14.wav
32,sad,03-01-04-01-01-02-14.wav
33,fearful,03-01-06-01-02-01-06.wav
34,calm,03-01-02-02-01-02-01.wav
35,calm,03-01-05-01-02-02-08.wav
36,fearful,03-01-06-02-01-01-14.wav
37,happy,03-01-06-02-01-01-16.wav
38,angry,03-01-05-01-02-01-21.wav
39,happy,03-01-05-01-01-01-08.wav
40,fearful,03-01-03-02-02-02-03.wav
41,happy,03-01-03-01-02-02-24.wav
42,angry,03-01-06-02-02-01-20.wav
43,angry,03-01-05-02-02-02-22.wav
44,calm,03-01-02-01-02-01-18.wav
45,sad,03-01-05-01-01-01-22.wav
46,sad,03-01-04-01-02-01-10.wav
47,angry,03-01-05-02-02-02-14.wav
48,sad,03-01-06-01-01-01-14.wav
49,fearful,03-01-06-01-02-01-20.wav
50,happy,03-01-03-01-02-02-06.wav
51,angry,03-01-05-02-02-02-15.wav
52,angry,03-01-05-02-02-02-02.wav
53,sad,03-01-04-02-01-01-19.wav
54,fearful,03-01-04-02-01-01-08.wav
55,fearful,03-01-04-02-01-02-01.wav
56,sad,03-01-04-02-02-02-09.wav
57,happy,03-01-06-01-02-01-11.wav
58,happy,03-01-03-02-01-01-22.wav
59,calm,03-01-04-02-02-01-23.wav
60,happy,03-01-04-02-02-01-16.wav
61,fearful,03-01-05-02-01-02-06.wav
62,happy,03-01-05-02-01-01-02.wav
63,fearful,03-01-06-01-01-02-05.wav
64,happy,03-01-03-02-01-01-08.wav
65,calm,03-01-02-02-01-01-03.wav
66,sad,03-01-04-02-02-02-13.wav
67,angry,03-01-06-02-01-01-08.wav
68,fearful,03-01-06-01-02-02-14.wav
69,angry,03-01-05-02-02-01-02.wav
70,sad,03-01-05-01-01-01-14.wav
71,angry,03-01-05-01-02-02-01.wav
72,fearful,03-01-03-01-01-02-13.wav
73,calm,03-01-02-01-02-01-15.wav
74,happy,03-01-04-02-01-01-06.wav
75,calm,03-01-02-01-01-02-17.wav
76,happy,03-01-04-02-02-02-14.wav
77,sad,03-01-04-01-01-02-02.wav
78,fearful,03-01-06-01-02-02-21.wav
79,angry,03-01-05-02-02-01-13.wav
80,calm,03-01-02-01-02-01-08.wav
81,sad,03-01-06-01-01-01-11.wav
82,angry,03-01-06-02-02-01-06.wav
83,calm,03-01-02-01-02-02-20.wav
84,happy,03-01-02-01-01-01-17.wav
85,happy,03-01-06-02-01-01-03.wav
86,happy,03-01-03-02-01-02-13.wav
87,angry,03-01-05-01-02-02-02.wav
88,happy,03-01-06-01-01-02-02.wav
89,angry,03-01-05-01-02-01-22.wav
